date,wage_nominal_uah,employed_mln,budget_revenue_bln_uah,pit_bln_uah
2016-09-01,15123.31,16.114,436.5,117.877
2016-10-01,16959.46,16.451,514.384,142.901
2016-11-01,18370.74,16.25,570.598,147.932
2016-12-01,21152.75,15.781,675.235,175.487
2017-01-01,15680.96,15.798,495.233,132.844
2017-02-01,16437.09,15.707,514.299,140.692
2017-03-01,17706.87,15.822,556.532,148.541
2017-04-01,17691.47,15.936,555.826,152.12
2017-05-01,20137.86,15.923,646.259,166.494
2017-06-01,20195.34,15.829,642.871,169.833
2017-07-01,21957.72,16.084,707.296,180.791
2017-08-01,22010.33,15.93,690.277,182.179
2017-09-01,21374.93,15.817,674.036,176.562
2017-10-01,23748.75,16.122,775.293,209.563
2017-11-01,25952.4,15.852,841.451,223.304
2017-12-01,30702.64,15.544,1011.45,266.51
2018-01-01,22739.3,15.443,737.807,193.954
2018-02-01,24236.91,15.357,774.508,204.641
2018-03-01,25412.29,15.61,825.346,219.745
2018-04-01,26181.11,15.787,849.324,223.859
2018-05-01,29850.81,15.637,969.653,252.833
2018-06-01,29623.28,15.561,960.112,263.151
2018-07-01,32818.51,15.785,1044.663,279.316
2018-08-01,31658.78,15.802,1038.477,269.837
2018-09-01,31431.36,15.431,1028.408,260.889
2018-10-01,34774.53,15.871,1145.598,300.223
2018-11-01,38084.35,15.705,1267.486,334.152
2018-12-01,44788.64,15.305,1520.64,398.937
2019-01-01,33420.5,15.243,1148.082,302.137
2019-02-01,35070.9,15.144,1185.576,331.212
2019-03-01,37270.74,15.336,1305.606,336.47
2019-04-01,37820.21,15.555,1304.482,334.08
2019-05-01,42092.03,15.543,1447.882,402.756
2019-06-01,42752.57,15.452,1461.337,397.553
2019-07-01,45072.02,15.79,1523.666,412.828
2019-08-01,44668.74,15.806,1517.864,412.517
2019-09-01,43855.2,15.459,1489.958,395.39
2019-10-01,47858.56,15.827,1660.597,472.836
2019-11-01,47598.07,15.633,1653.957,474.46
2019-12-01,54612.09,15.055,1937.608,514.546
