date,wage_nominal_uah,employed_mln,budget_revenue_bln_uah,pit_bln_uah
2011-07-01,2751.74,18.802,129.871,25.641
2011-08-01,2800.85,18.779,129.857,25.732
2011-09-01,2800.98,18.752,132.187,25.944
2011-10-01,2788.46,18.736,131.527,25.750
2011-11-01,2855.22,18.687,133.187,26.652
2011-12-01,2892.06,18.697,139.342,27.702
2012-01-01,2858.83,18.637,139.430,27.007
2012-02-01,2921.83,18.645,147.816,27.856
2012-03-01,2964.07,18.608,151.431,28.859
2012-04-01,3022.30,18.589,154.178,30.157
2012-05-01,3091.86,18.575,160.449,30.784
2012-06-01,3170.46,18.541,163.179,32.067
2012-07-01,3181.72,18.510,166.724,32.860
2012-08-01,3254.17,18.491,166.648,35.185
2012-09-01,3267.36,18.471,168.856,34.473
2012-10-01,3271.73,18.440,167.268,34.587
2012-11-01,3287.57,18.412,169.434,34.950
2012-12-01,3361.09,18.376,169.204,37.035
2013-01-01,3315.24,18.346,174.819,36.173
2013-02-01,3386.70,18.295,183.769,37.312
2013-03-01,3380.15,18.292,185.404,37.790
2013-04-01,3532.74,18.266,192.168,40.270
2013-05-01,3598.93,18.253,197.993,41.153
2013-06-01,3687.11,18.229,202.539,42.306
2013-07-01,3705.34,18.198,206.386,42.717
2013-08-01,3814.25,18.185,208.117,45.115
2013-09-01,3857.39,18.151,210.226,45.196
2013-10-01,3804.45,18.132,209.275,44.541
2013-11-01,3871.83,18.109,211.265,45.825
2013-12-01,3981.26,18.082,212.844,47.312
2014-01-01,3902.93,18.055,215.174,47.263
2014-02-01,3959.05,18.017,224.102,47.524
2014-03-01,4015.63,18.007,220.864,48.832
2014-04-01,4172.60,17.986,230.786,51.404
2014-05-01,4289.29,17.966,234.444,52.975
2014-06-01,4353.07,17.927,239.030,54.816
2014-07-01,4446.88,17.901,239.982,56.838
2014-08-01,4553.44,17.892,243.284,57.758
2014-09-01,4621.21,17.861,244.020,59.313
2014-10-01,4530.79,17.850,240.222,58.536
2014-11-01,4684.13,17.822,244.964,61.001
2014-12-01,4760.79,17.788,244.490,62.393
2015-01-01,5013.84,17.769,256.580,64.122
2015-02-01,5063.28,17.740,265.414,65.000
2015-03-01,5200.77,17.727,272.807,67.078
2015-04-01,5397.41,17.710,285.661,71.278
2015-05-01,5438.66,17.689,286.535,70.937
2015-06-01,5595.08,17.662,288.129,74.087
2015-07-01,5711.66,17.643,291.805,77.379
2015-08-01,5748.50,17.608,296.245,77.029
2015-09-01,5850.01,17.581,298.943,80.111
2015-10-01,5860.41,17.555,296.168,79.401
2015-11-01,6004.33,17.541,301.470,82.741
2015-12-01,6052.18,17.509,301.777,83.581
2016-01-01,6324.12,17.484,317.912,89.159
2016-02-01,6399.19,17.464,321.900,91.647
2016-03-01,6491.59,17.455,327.442,94.762
2016-04-01,6668.70,17.425,343.792,97.410
2016-05-01,6824.23,17.406,347.598,102.007
2016-06-01,7035.37,17.373,354.126,108.293
2016-07-01,7091.58,17.344,355.034,107.592
2016-08-01,7232.28,17.322,357.421,111.710
2016-09-01,7312.03,17.286,364.598,114.547
2016-10-01,7363.33,17.273,367.284,115.506
2016-11-01,7444.14,17.249,370.795,117.470
2016-12-01,7683.45,17.219,381.902,123.651
2017-01-01,7774.38,17.193,392.138,127.374
2017-02-01,7860.37,17.165,398.053,129.001
2017-03-01,7990.71,17.149,408.675,133.083
2017-04-01,8223.08,17.126,421.704,139.697
2017-05-01,8387.37,17.102,428.077,145.352
2017-06-01,8511.73,17.068,436.441,147.934
2017-07-01,8702.35,17.047,445.804,154.258
2017-08-01,8778.96,17.032,447.448,154.390
2017-09-01,8927.04,17.008,454.429,159.443
2017-10-01,8963.32,16.986,458.860,160.648
2017-11-01,9050.69,16.966,458.987,162.552
2017-12-01,9374.31,16.937,467.792,171.341
2018-01-01,9182.91,16.907,460.032,169.317
2018-02-01,9171.47,16.877,463.591,171.023
2018-03-01,9418.84,16.856,487.943,178.104
2018-04-01,9480.31,16.825,488.354,182.088
2018-05-01,9699.01,16.808,498.703,187.870
2018-06-01,9788.00,16.783,507.252,188.835
2018-07-01,9878.15,16.756,512.587,192.677
2018-08-01,9887.63,16.744,512.574,197.417
2018-09-01,10097.81,16.724,521.008,199.605
2018-10-01,10120.74,16.702,524.385,199.978
2018-11-01,10269.49,16.675,524.099,205.184
2018-12-01,10340.56,16.645,525.001,206.533
2019-01-01,10310.41,16.622,517.663,202.310
2019-02-01,10268.90,16.596,510.389,203.550
2019-03-01,10553.44,16.566,521.802,214.489
2019-04-01,10486.15,16.534,521.781,215.829
2019-05-01,10796.41,16.508,530.438,225.579
2019-06-01,10940.27,16.480,536.305,227.806
2019-07-01,11019.55,16.449,540.378,232.509
2019-08-01,11072.47,16.433,538.725,238.125
2019-09-01,11229.87,16.411,545.908,242.361
2019-10-01,11175.75,16.394,538.818,237.630
2019-11-01,11126.78,16.365,534.629,239.074
2019-12-01,11309.51,16.337,538.290,246.178
